seed,scenario,purpose,bandwidth_mhz,num_ues,lambda,num_dl_flows_per_ue,sim_time,udp_packet_size,extra_ns3_args
594585,dynamic_continuous_30s_ue7,Cenário contínuo com 7 UEs e cinco fases de tráfego na mesma simulação.,40,7,200,4,30s,3000,"{'dynamicTraffic': '1', 'phaseDurations': '6,6,6,6,6', 'phaseLambdas': '200,350,550,250,650', 'tddPattern': 'DL|DL|DL|DL|UL|DL|DL|DL|DL|UL|'}"
601866,dynamic_continuous_30s_ue3,Cenário contínuo com 3 UEs e cinco fases de tráfego na mesma simulação.,40,3,200,4,30s,3000,"{'dynamicTraffic': '1', 'phaseDurations': '6,6,6,6,6', 'phaseLambdas': '200,350,550,250,650', 'tddPattern': 'DL|DL|DL|DL|UL|DL|DL|DL|DL|UL|'}"
601866,dynamic_continuous_30s_ue5,Cenário contínuo com 5 UEs e cinco fases de tráfego na mesma simulação.,40,5,200,4,30s,3000,"{'dynamicTraffic': '1', 'phaseDurations': '6,6,6,6,6', 'phaseLambdas': '200,350,550,250,650', 'tddPattern': 'DL|DL|DL|DL|UL|DL|DL|DL|DL|UL|'}"
601866,dynamic_continuous_30s_ue7,Cenário contínuo com 7 UEs e cinco fases de tráfego na mesma simulação.,40,7,200,4,30s,3000,"{'dynamicTraffic': '1', 'phaseDurations': '6,6,6,6,6', 'phaseLambdas': '200,350,550,250,650', 'tddPattern': 'DL|DL|DL|DL|UL|DL|DL|DL|DL|UL|'}"
602931,dynamic_continuous_30s_ue3,Cenário contínuo com 3 UEs e cinco fases de tráfego na mesma simulação.,40,3,200,4,30s,3000,"{'dynamicTraffic': '1', 'phaseDurations': '6,6,6,6,6', 'phaseLambdas': '200,350,550,250,650', 'tddPattern': 'DL|DL|DL|DL|UL|DL|DL|DL|DL|UL|'}"
602931,dynamic_continuous_30s_ue5,Cenário contínuo com 5 UEs e cinco fases de tráfego na mesma simulação.,40,5,200,4,30s,3000,"{'dynamicTraffic': '1', 'phaseDurations': '6,6,6,6,6', 'phaseLambdas': '200,350,550,250,650', 'tddPattern': 'DL|DL|DL|DL|UL|DL|DL|DL|DL|UL|'}"
602931,dynamic_continuous_30s_ue7,Cenário contínuo com 7 UEs e cinco fases de tráfego na mesma simulação.,40,7,200,4,30s,3000,"{'dynamicTraffic': '1', 'phaseDurations': '6,6,6,6,6', 'phaseLambdas': '200,350,550,250,650', 'tddPattern': 'DL|DL|DL|DL|UL|DL|DL|DL|DL|UL|'}"
612515,dynamic_continuous_30s_ue3,Cenário contínuo com 3 UEs e cinco fases de tráfego na mesma simulação.,40,3,200,4,30s,3000,"{'dynamicTraffic': '1', 'phaseDurations': '6,6,6,6,6', 'phaseLambdas': '200,350,550,250,650', 'tddPattern': 'DL|DL|DL|DL|UL|DL|DL|DL|DL|UL|'}"
612515,dynamic_continuous_30s_ue5,Cenário contínuo com 5 UEs e cinco fases de tráfego na mesma simulação.,40,5,200,4,30s,3000,"{'dynamicTraffic': '1', 'phaseDurations': '6,6,6,6,6', 'phaseLambdas': '200,350,550,250,650', 'tddPattern': 'DL|DL|DL|DL|UL|DL|DL|DL|DL|UL|'}"
612515,dynamic_continuous_30s_ue7,Cenário contínuo com 7 UEs e cinco fases de tráfego na mesma simulação.,40,7,200,4,30s,3000,"{'dynamicTraffic': '1', 'phaseDurations': '6,6,6,6,6', 'phaseLambdas': '200,350,550,250,650', 'tddPattern': 'DL|DL|DL|DL|UL|DL|DL|DL|DL|UL|'}"
